id,Title,Authors,id_original,Title_original,OBS,Validação Raphael,Justificativa Raphael,Obs Raphael,Validação Guilherme,Justificativa Guilherme,Obs Guilherme,Secundário,Decisão Final,Repetido
1378,Web Fraud Attacks Against LLM-Driven Multi-Agent Systems,"Dezhang Kong, Hujin Peng, Yilun Zhang, Lele Zhao, Zhenhua Xu, Shi Lin, Changting Lin, Meng Han",59,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,,,,,,,,,,
1379,Joint Communication Scheduling and Velocity Control for Multi-UAV-Assisted Post-Disaster Monitoring: An Attention-Based In-Context Learning Approach,"Yousef Emami, Seyedsina Nabavirazavi, Jingjing Zheng, Hao Zhou, M. Gaitán, Kai Li, Luis Almeida",61,LLM-Enabled In-Context Learning for Data Collection Scheduling in UAV-Assisted Sensor Networks,,,,,,,,,,
1380,Artificial Intelligence Approaches for UAV Deconfliction: A Comparative Review and Framework Proposal,"Fabio Suim Chagas, Neno Ruseno, A. Bechina",61,LLM-Enabled In-Context Learning for Data Collection Scheduling in UAV-Assisted Sensor Networks,,,,,,,,,,
1381,Tutorial on Large Language Model-Enhanced Reinforcement Learning for Wireless Networks,"Lingyi Cai, Wenjie Fu, Yuxi Huang, Ruichen Zhang, Yinqiu Liu, Jiawen Kang, Zehui Xiong, Tao Jiang, Dusit Niyato, Xianbin Wang, Shiwen Mao, Xuemin Shen",61,LLM-Enabled In-Context Learning for Data Collection Scheduling in UAV-Assisted Sensor Networks,,,,,,,,,,
1382,FRSICL: LLM-Enabled In-Context Learning Flight Resource Allocation for Fresh Data Collection in UAV-Assisted Wildfire Monitoring,"Yousef Emami, Hao Zhou, Miguel Gutiérrez Gaitán, Kai Li, Luis Almeida",61,LLM-Enabled In-Context Learning for Data Collection Scheduling in UAV-Assisted Sensor Networks,,,,,,,,,,1383
1383,FRSICL: LLM-Enabled In-Context Learning Flight Resource Allocation for Fresh Data Collection in UAV-Assisted Wildfire Monitoring,"Yousef Emami, Hao Zhou, Miguel Gutierrez Gaitan, Kai Li, Luis Almeida",61,LLM-Enabled In-Context Learning for Data Collection Scheduling in UAV-Assisted Sensor Networks,,,,,,,,,,1382
1384,Large Language Model-Assisted UAV Operations and Communications: A Multifaceted Survey and Tutorial,"Yousef Emami, Hao Zhou, Radha Reddy, Atefeh Hajijamali Arani, Biliang Wang, Kai Li, Luís Eduardo Almeida, Zhu Han",61,LLM-Enabled In-Context Learning for Data Collection Scheduling in UAV-Assisted Sensor Networks,,,,,,,,,,
1385,From Prompts to Protection: Large Language Model-Enabled In-Context Learning for Smart Public Safety UAV,"Yousef Emami, Hao Zhou, M. Gaitán, Kai Li, Luis Almeida, Zhu Han",61,LLM-Enabled In-Context Learning for Data Collection Scheduling in UAV-Assisted Sensor Networks,,,,,,,,,,
1386,Performance analysis of localised large language models in resource-constrained edge for Python and Rust APIs,"Partha Pratim Ray, Mohan Pratap Pradhan, Partha Pratim Ray, Mohan Pratap Pradhan",61,LLM-Enabled In-Context Learning for Data Collection Scheduling in UAV-Assisted Sensor Networks,,,,,,,,,,
1387,AMA: Adaptive Memory via Multi-Agent Collaboration,"Weiquan Huang, Zixuan Wang, Hehai Lin, Sudong Wang, Bo Xu, Qian Li, Beier Zhu, Linyi Yang, Chengwei Qin",71,LLM-Powered AI Agent Systems and Their Applications in Industry,,,,,,,,,,"1392,1408,1413"
